,Article.ID,Statement.ID,Stat.ID,Journal.ID,Reference,Link,Type.of.statistics,t,N1,N2,p,Page.number,Associated.statistics,Negative.statement,Category
80,65,1,1,3,"Kreuzbauer, R., King, D., & Basu, S. (2015). The mind in the object—Psychological valuation of materialized human expression. Journal of Experimental Psychology: General, 144(4), 764.",http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-26264-001,Planned Comparision T-Test,NA,NA,NA,0.24,772,"Planned contrast tests showed that again, the differences within the aesthetic quality conditions were not statistically significant (p=.24). Finally, we performed a 2X2 ANOVA between the two accuracy and aesthetic conditions, but this interaction was not significant (p=.9), and there were also no significant main effects.","The studies showed that the proposed mechanism applies to symbolic, but not to functional or aesthetic material objects.",Incorrect-frequentist  whole population
92,72,1,1,1,"Loaiza, V. M., Duperreault, K. A., Rhodes, M. G., & McCabe, D. P. (2014). Long-term semantic representations moderate the effect of attentional refreshing on episodic memory. Psychonomic Bulletin & Review, 22(1), 274280. https://doi.org/10.3758/s13423-014-0673-7
",http://link.springer.com/article/10.3758/s13423-014-0673-7,ANOVA,NA,NA,NA,NA,277,"There was a main effect of task, as well as an interaction, such that the benefit of complex span relative to simple span was significant for words, F(1, 43) = 14.14, <U+03B7>p2 = .25, but not for nonwords, F < 1.","The results replicated the McCabe effect, but only for words, and the beneficial effect of refreshing opportunities was exclusive to recollection. These results extend previous research by indicating that the predictive relationship between WM refreshing and long-term EM is specific to recollection and, furthermore, moderated by representations in long-term SM.",Incorrect-frequentist  whole population
97,77,1,1,2,"Maloney, E. A., Ramirez, G., Gunderson, E. A., Levine, S. C., & Beilock, S. L. (2015). Intergenerational effects of parents’ math anxiety on children’s math achievement and anxiety. Psychological Science, 0956797615592630.",http://pss.sagepub.com/content/26/9/1480.abstract,Regression,NA,NA,NA,0.736,1484,"Overall, the frequency of parents’ math homework help did not moderate the relation between parents’ math anxiety and children’s end-of-year reading achievement, F(1, 425) =<U+2009>0.114, p = .736, which indicates that this relation was specific to math achievement.","Parents’ math anxiety did not predict children’s reading achievement, which suggests that the effects of parents’ math anxiety are specific to children’s math achievement.",Incorrect-frequentist  whole population
107,83,1,1,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
",http://psycnet.apa.org/journals/xge/144/1/48/,Post-hoc T-Test,NA,NA,NA,0.14,52,"Using Bonferroni correction, a = .025, the difference in means between categories, same versus different, was highly significant for the TD group, t(16) = 9.15, p < .001, d = 2.23, but not for the ASD group, t(14) = 1.57, p = .14, d = .41","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.",Incorrect-frequentist  whole population
108,83,1,2,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
",http://psycnet.apa.org/journals/xge/144/1/48/,Independent Samples T-Test,0.96,15,17,0.35,52,"Therefore, each participant’s discrimination sensitivity, A ’, to the 2% difference in tone pitch was calculated by using published formulae (Rae, 1976). The means were very similar between participant groups (ASD group: M = .63, SD = .14; TD group: M = .68, SD = .16), with no significant group difference, t(29) = .96, p = .35, d = .35.","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.",Incorrect-frequentist  whole population
109,83,1,3,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
",http://psycnet.apa.org/journals/xge/144/1/48/,Independent Samples T-Test,0.66,16,16,0.51,52,"The mean proportions of perseverative responses to these tones were very similar between participant groups (ASD group: M = .37, SD = .16; TD group: M = .33, SD = .17), with no significant group difference, t(30) = .66, p = .51, d = .23.","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.",Incorrect-frequentist  whole population
110,83,1,4,3,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
",http://psycnet.apa.org/journals/xge/144/1/48/,Independent Samples T-Test,1,16,16,0.32,52,"Performance on this measure was slightly lower for the ASD group (M = .81, SD = .20) than for the TD group (M = .86, SD = .16; reverse transformed scores supplied for means only). However, an independent-samples t test confirmed the difference was not significant, t(30) = 1.00, p = .32, d = .35.","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.",Incorrect-frequentist  whole population
111,84,1,1,1,"Montani, V., Facoetti, A., & Zorzi, M. (2015). The effect of decreased interletter spacing on orthographic processing. Psychonomic Bulletin & Review, 22(3), 824832.",http://link.springer.com/article/10.3758/s13423-014-0728-9,Regression,NA,NA,NA,NA,827,No other effect was significant. (...) The length factor was also excluded because it did not interact with spacing in the full model.,"Importantly, the effect of spacing was not modulated by string length, suggesting that the locus of the spacing effect is at the level of letter detectors.",Incorrect-frequentist  whole population
120,93,1,1,3,"Pegors, T. K., Mattar, M. G., Bryan, P. B., & Epstein, R. A. (2015). Simultaneous perceptual and response biases on sequential face attractiveness judgments. Journal of Experimental Psychology: General, 144(3), 664.",http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-15251-001,Paired Samples T-Test,0.8,391,NA,0.42,671,"There was no difference between the strength of the assimilative biases for each trial type, t(390) = -0.80, p = .42, even though assimilative biases as a result of the previous rating were significant in both trials preceded by short-duration trials, t(390) = 4.95, p < .001, and trials preceded by long-duration trials, t(390) = 4.37, p < .001.","Further, we provide evidence that the contrastive stimulus bias (but not the assimilative response bias) is strengthened by increasing the duration of the previous stimulus, suggesting an underlying perceptual mechanism.",Incorrect-frequentist  whole population
121,94,1,1,1,"Potter, M. C., & Hagmann, C. E. (2014). Banana or fruit? Detection and recognition across categorical levels in RSVP. Psychonomic Bulletin & Review, 22(2), 578585. https://doi.org/10.3758/s13423-014-0692-4
",http://link.springer.com/article/10.3758/s13423-014-0692-4,ANOVA,NA,NA,NA,0.051,581,"Separate analyses of the before and after groups showed a sizable advantage of the basic level in the before group, F(1, 15) = 13.78, p = .002, <U+03B7>G2 = .064, and a marginal advantage in the after group, F(1, 15) = 4.5, p = .051, <U+03B7>G2 = .006.","In the name-after group, performance on the two category levels did not differ significantly; this suggests that encoding had occurred at the basic level during presentation, allowing the superordinate category to be inferred.",Incorrect-frequentist  whole population
122,95,1,1,2,"Proudfoot, D., Kay, A. C., & Koval, C. Z. (2015). A Gender Bias in the Attribution of Creativity: Archival and Experimental Evidence for the Perceived Association Between Masculinity and Creative Thinking. Psychological Science, 26(11), 17511761. http://doi.org/10.1177/0956797615598739
",http://pss.sagepub.com/content/26/11/1751.abstract,ANOVA,NA,NA,NA,0.19,1758,"In contrast, no effect of condition emerged for the female target who acted in an identical way (risky-decision condition: M = 4.98, SD = 1.57; baseline condition: M = 5.41, SD = 1.57), F(1, 121) = 1.74, p = .19.","Finally, we observed that stereotypically masculine behavior enhances a man’s perceived creativity, whereas identical behavior does not enhance a woman’s perceived creativity (Study 5).",Incorrect-frequentist  whole population
124,97,1,1,1,"Robidoux, S., & Besner, D. (2015). Conflict resolved: On the role of spatial attention in reading and color naming tasks. Psychonomic Bulletin & Review, 22(6), 17091716. doi:10.3758/s13423-015-0830-7",http://link.springer.com/article/10.3758/s13423-015-0830-7,Bayesian analysis,NA,NA,NA,NA,NA,"Comparing the two models produced a Bayes factor of 16.8, indicating very strong evidence against the distractor effect.","We then demonstrate that when spatial attention is appropriately captured, distractor words in unattended locations do not affect color identification. We conclude that there is no word identification without spatial attention.",Incorrect-frequentist  whole population
130,99,1,1,1,"Rueschemeyer, S.-A., Gardner, T., & Stoner, C. (2014). The Social N400 effect: how the presence of other listeners affects language comprehension. Psychonomic Bulletin & Review, 22(1), 128134. https://doi.org/10.3758/s13423-014-0654-x
",http://link.springer.com/article/10.3758/s13423-014-0654-x,Paired Samples T-Test,0.5,17,NA,0.61,131,"This hypothesis was confirmed in two paired samples t tests indicating a significant effect for IMPLAUS sentences, IMPLAUS < PLAUS, t(16) = 3.62, p < .005, r2 = .45, but no significant effect for CONTEXT sentences versus PLAUS sentences, t(16) = -.50, p = .61.","Crucially, in a second group of participants, we demonstrate that presenting exactly the same sentences to the participant alone (i.e. without a co-listener) results in no N400-effect.",Incorrect-frequentist  whole population
131,100,1,1,2,"Rutland, A., Hitti, A., Mulvey, K. L., Abrams, D., & Killen, M. (2015). When Does the In-Group Like the Out-Group? Bias Among Children as a Function of Group Norms. Psychological Science, 26(6), 834842. http://doi.org/10.1177/0956797615572758
",http://pss.sagepub.com/content/26/6/834.abstract,Post-hoc T-Test,NA,NA,NA,0.71,837,"In contrast, participants rated the nontraditional deviant act (i.e., not wearing the shirt when the group did) by the in-group peer (M = 3.24, SD = 1.42) and the out-group peer (M = 3.29, SD = 1.47) as equally unacceptable, t(460) = -.37, p = .71.","The findings demonstrated, for the first time, that children preferred out-group over in-group deviance only when the in-group peer’s deviance was in line with the generic norm and a threat to their group’s identity. [...] Our findings suggest that children’s intergroup attitudes are influenced by how the behavior of their peers matches different levels of group norms.",Incorrect-frequentist  whole population
132,101,1,1,3,"Ryskin, R. A., Benjamin, A. S., Tullis, J., & Brown-Schmidt, S. (2015). Perspective-taking in comprehension, production, and memory: An individual differences approach. Journal of Experimental Psychology: General, 144(5), 898915. doi:10.1037/xge0000093",http://psycnet.apa.org/journals/xge/144/5/898/,Correlation,NA,NA,NA,0.05,907,"Perspective-taking in production was marginally correlated with perspective-taking in cue generation, r=.16, p=.05.","Surprisingly, there was little variance common to the 3 tasks, a result that suggests that perspective-taking is not domain-general.",Incorrect-frequentist  whole population
139,106,1,1,3,"Schmid, P. C., Kleiman, T., & Amodio, D. M. (2015). Power effects on cognitive control: Turning conflict into action. Journal of Experimental Psychology: General, 144(3), 655.",http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-17265-001,ANOVA,NA,NA,NA,0.78,658,"An analysis of PD-automatic scores did not reveal a significant effect of power condition, F(2, 121) = 0.25, p = .78, <U+03B7>p2< .01.","In Study 1, we demonstrated that power enhances behavioral performance on a response conflict task and that it does so by enhancing controlled processing rather than by reducing automatic processing.;",Incorrect-frequentist  whole population
142,109,1,1,3,"Slepian, M. L., Camp, N. P., & Masicampo, E. J. (2015). Exploring the secrecy burden: Secrets, preoccupation, and perceptual judgments. Journal of Experimental Psychology: General, 144(2), e31e42. https://doi.org/10.1037/xge0000052
",http://psycnet.apa.org/journals/xge/144/2/e31/,ANOVA,NA,NA,NA,0.17,e34,"This analysis revealed no main effect of condition (n“big” 47, n“small” = 51), F(1, 96 = 1.90, p = .17, 2 .02, no main effect of judgment-type, F(1, 96)=0.01, p=.99, <U+03B7>2=.01, and no interaction, F(1, 96) = 1.33, p = .25, <U+03B7>2 = .01.","The current work finds that a manipulation of secret “size” fails to reliably predict judged hill slant, whereas measurement and manipulation of preoccupation with a secret does reliably predict judged hill slant.",Incorrect-frequentist  whole population
147,113,1,1,1,"Spataro, P., Mulligan, N. W., & Rossi-Arnaud, C. (2015). Limits to the attentional boost effect: the moderating influence of orthographic distinctiveness. Psychonomic Bulletin & Review, 22(4), 987992.",http://link.springer.com/article/10.3758/s13423-014-0767-2,ANOVA,NA,NA,NA,0.48,990,"in the DA condition, the ABE was significant for LF-OC words [F(1, 32) = 7.59, p <U+2264> 0.01, <U+03B7>p2 = 0.19], with recognition being better for words encoded with targets than for words encoded with distractors (M = 0.44 vs. M = 0.32), whereas there was no hint of an ABE for LF-OD words [F(1, 32) = 0.52, p = 0.48; see Fig. 1];","Results revealed that the ABE was significant for low-frequency words with common orthographic features, but not for low-frequency words with rare orthographic features. ; These findings are in line with the proposal that the ABE-related attentional enhancement occurs during an early phase of stimulus perception and comprehension, as well as with the proposal that the ODE is mediated by high-level, attention demanding comparative processes.",Incorrect-frequentist  whole population
148,114,1,1,1,"Stevenson, R. J., & Mahmut, M. (2015). Why does the sense of smell vanish in the mouth? Testing predictions from two accounts. Psychonomic Bulletin & Review, 22(4), 955960.",http://link.springer.com/article/10.3758/s13423-014-0785-0,Post-hoc T-Test,NA,NA,NA,NA,958,"This finding suggests that odor type moderates the effect of the tastant, implying that both processes are at work. Indeed, for not-sweet smells, reliability was poorer for water-water trials than for those smelled with a tastant, t(38) = 2.71, p = 0.01, d = 0.43, but this was not the case for sweet smells (t = 1.2).","For sweet smells, tastant had no effect, which we suggest represents a cancelling out of the beneficial effects of the common attentional channel by the detrimental effects of prior learning.",Incorrect-frequentist  whole population
162,124,1,1,1,"Vergauwe, E., & Cowan, N. (2015). Attending to items in working memory: evidence that refreshing and memory search are closely related. Psychonomic Bulletin & Review, 22(4), 10011006.",http://link.springer.com/article/10.3758/s13423-014-0755-6,Planned Comparision T-Test,NA,NA,NA,NA,1004,"Importantly, in line with our main prediction, recall performance was disrupted by the prolonged attentional capture induced by retrieval of knowledge from LTM (location vs. alphabet, .86 vs. .76), F(1, 29) = 11.69, p < .01, <U+03B7>p2 = .29, but not by prolonged attentional capture induced by memory search (location vs. memory, both .86), F < 1.","If memory search and refreshing both rely on retrieval from WM, then prolonged attentional capture caused by memory search should not lead to forgetting, because memory items are assumed to be reactivated during memory search, in the same way that they would be if that period of time were used for refreshing. Consistent with this idea, prolonged attentional capture had a disruptive effect when it was caused by the need to retrieve knowledge from long-term memory, but not when it was caused by the need to search through the content of WM. The present results support the idea that refreshing operates through a process of retrieval of information into the focus of attention.",Incorrect-frequentist  whole population
163,125,1,1,3,"Wakslak, C. J., & Kim, B. K. (2015). Controllable objects seem closer. Journal of Experimental Psychology: General, 144(3), 522.",http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-18635-001,Regression,NA,NA,NA,0.87,525,"A similar regression exploring general desire for control as a moderator revealed only a main effect of control condition (B = -.36; SE = .18; r(232) = 2.06, p = .041), with no evidence of an interaction (p = .87).",We do not find that one’s desire for control moderates these effects (Study 4).,Incorrect-frequentist  whole population
167,129,1,1,1,"Wiggett, A. J., & Tipper, S. P. (2015). Priming of hand and foot response: is spatial attention to the body site enough? Psychonomic Bulletin & Review, 22(6), 16781684. doi:10.3758/s13423-015-0823-6",http://link.springer.com/article/10.3758/s13423-015-0823-6,Post-hoc T-Test,NA,NA,NA,NA,1681,There were no significant body part compatibility effects for unusual body postures.,The results suggest that spatial orienting to a body site is insufficient; rather we argue that it is only postures that are familiar and we are easily able to adopt that can be processed fluently and influence target discrimination.,Incorrect-frequentist  whole population
