"","Article.ID","Statement.ID","Stat.ID","Journal.ID","Reference","Link","Type.of.statistics","t","N1","N2","p","Page.number","Associated.statistics","Negative.statement","Category"
"17",15,1,1,1,"Capozzi, F., Bayliss, A. P., Elena, M. R., & Becchio, C. (2015). One is not enough: Group size modulates social gaze-induced object desirability effects. Psychonomic Bulletin & Review, 22(3), 850855.","http://link.springer.com/article/10.3758/s13423-014-0717-z","ANOVA",NA,NA,NA,"0.116","853","Neither the effect of number of faces, F(1, 24) = 1.214, p = .282, <U+03B7>2 = .048, nor the cuing × number of faces interaction, F(1, 24) = 2.655, p = .116, <U+03B7>2 = .100, approached significance, suggesting that the single and the multiple faces produced similar amounts of attentional cuing (see Fig. 2).","While response time measures revealed equal gaze-cuing effects for both conditions, a boost in affective evaluation was observed only for objects looked at by several different faces.","Incorrect-frequentist  current sample"
"18",16,1,1,2,"Chen, J., Sperandio, I., & Goodale, M. A. (2015). Differences in the Effects of Crowding on Size Perception and Grip Scaling in Densely Cluttered 3-D Scenes. Psychological Science, 26(1), 5869. http://doi.org/10.1177/0956797614556776
","http://pss.sagepub.com/content/26/1/58.abstract","ANOVA",NA,NA,NA,"0.716","65","One-way repeated measures ANOVAs on the normalized Fisher Z scores revealed that although eccentricity had a highly significant effect on manual estimates, F(2, 22) = 13.01, p = .000, it had no effect on PGAs, F(2, 22) = 0.340, p = .716. This finding supports the idea that any influence of crowding on grip scaling is not affected by eccentricity.","Experiments 2 and 3, we found that changing the eccentricity of the display and the orientation of the flankers had no effect on grasping but strongly affected perception.","Incorrect-frequentist  current sample"
"19",17,1,1,2,"Chiu, Y.-C., & Egner, T. (2015). Inhibition-Induced Forgetting: When More Control Leads to Less Memory. Psychological Science, 26(1), 2738. http://doi.org/10.1177/0956797614553945
","http://pss.sagepub.com/content/26/1/27.abstract","Paired Samples T-Test","0.8750",53,NA,"0.3856","33","Note that d' did not differ between no stimuli (M = 0.81, 95% CI= [0.70, 0.92]) and yes stimuli (M = 0.87, 95% CI = [0.76, 0.98]), t(52) = 0.88, p > .1, Cohen’s d = 0.12 (Fig. 3).","Experiment 4 showed that this inhibition-induced forgetting was not attributable to event congruency.","Incorrect-frequentist  current sample"
"20",18,1,1,3,"Chua, K.-W., Richler, J. J., & Gauthier, I. (2015). Holistic processing from learned attention to parts. Journal of Experimental Psychology: General, 144(4), 723.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-11174-001","ANOVA",NA,NA,NA,"0.73","726","With trained subjects only, the Condition x Congruency x Trial Type interaction was only marginally significant, F(1, 77)=3.06, p= .084, <U+03B7>p2= 2 .04, with significant holistic processing (Congruency x Trial Type interaction) for diagnostic composites, F(1, 77) =6.67, p =.01, etha squared=.08, but not for nondiagnostic composites, F(1, 77) =0.12, p =.73, etha squared= .002.","Exposure to Greeble parts resulted in general failures of selective attention for nondiagnostic composites, but face-like holistic processing was only observed for diagnostic composites.","Incorrect-frequentist  current sample"
"21",19,1,1,3,"Coman, A., & Hirst, W. (2015). Social identity and socially shared retrieval-induced forgetting: The effects of group membership. Journal of Experimental Psychology: General, 144(4), 717.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-18938-001","Post-hoc T-Test",NA,NA,NA,"0.84","720","In the Princeton identity salience condition, we found that listening to a Princeton speaker resulted in an SSRIF effect, t(31)=2.73, p<.01, d=0.49, CI [0.21, 0.03], whereas listening to a Yale speaker did not, t(31)=0.20, p=.84, d=0.04, CI [0.11, 0.09] (see Figure 1, left panel).","In Experiment 1, Princeton students listening to a speaker selectively recall previously studied material showed SSRIF when the speaker was identified as a fellow Princeton student, but not when he or she was identified as a Yale student.","Incorrect-frequentist  current sample"
"22",20,1,1,3,"Darby, K. P., & Sloutsky, V. M. (2015). The cost of learning: Interference effects in memory development. Journal of Experimental Psychology: General, 144(2), 410431. https://doi.org/10.1037/xge0000051
","http://psycnet.apa.org/journals/xge/144/2/410/","Planned Comparision T-Test",NA,NA,NA,"0.48","416","Planned comparisons indicated that attenuation of accuracy was marginally significant in children for overlapping pairs, t(24) = 1.90, p = .07, Cohen’s d = 0.38, but not for unique pairs, p = .48.","Both age groups demonstrated interference effects, but only for repeated items.","Incorrect-frequentist  current sample"
"23",21,1,1,2,"Darby, K. P., & Sloutsky, V. M. (2015). When Delays Improve Memory: Stabilizing Memory in Children May Require Time. Psychological Science, 26(12), 19371946. http://doi.org/10.1177/0956797615607350","http://pss.sagepub.com/content/26/12/1937.abstract","Paired Samples T-Test","0.516",29,NA,"0.61","1943","Paired samples t tests indicated that savings were significant for unique pairs, t(28) = 3.00, p = .006, d = 1.19, but not for overlapping pairs, p = .61.","Results of Experiment 2 suggest that the benefit of this delay is limited to situations in which children are given enough information to form complex memory structures.","Incorrect-frequentist  whole population"
"24",22,1,1,2,"de Bruin, A., Treccani, B., & Della Sala, S. (2015). Cognitive advantage in bilingualism an example of publication bias? Psychological Science, 26(1), 99107.","http://pss.sagepub.com/content/26/1/99.abstract","Independent Samples T-Test","0.6",66,38,"0.554","5","Using independent-samples t tests, we found no significant differences between abstracts that supported the bilingual advantage and those that challenged it in terms of year of conference presentation and number of participants per group (see Table 3).","Studies with results fully supporting the bilingual-advantage theory were most likely to be published, followed by studies with mixed results. Studies challenging the bilingual advantage were published the least.This discrepancy was not due to differences in sample size, tests used, or statistical power.","Incorrect-frequentist  current sample"
"25",23,1,1,2,"Dearing, E., Zachrisson, H. D., & Narde, A. (2015). Age of Entry Into Early Childhood Education and Care as a Predictor of Aggression Faint and Fading Associations for Young Norwegian Children. Psychological Science, 26(10), 15951607.","http://pss.sagepub.com/content/26/10/1595.abstract","Regression",NA,NA,NA,NA,"1603","Table 2.
Random-Effects Regression Estimates From the Covariate-Adjusted and Propensity-Score-Weighted Models Assessing Associations Between Age of Entry Into Early Childhood Education and Care (ECEC) and Teacher-Rated Aggression From 2 to 4 Years of Age","We found some evidence that age of entry into ECEC predicted aggression at age 2, albeit modestly and not robustly. Between the ages of 2 and 4 years, the effect of age of entry on aggression faded to negligible levels.","Incorrect-frequentist  current sample"
"26",24,1,1,1,"Deffler, S. A., Brown, A. S., & Marsh, E. J. (2015). Judging the familiarity of strangers: does the context matter? Psychonomic Bulletin & Review, 22(4), 10411047.","http://link.springer.com/article/10.3758/s13423-014-0769-0","Post-hoc T-Test",NA,NA,NA,"0.256","1045","As compared to novel backgrounds, landmarks increased the perceived familiarity of novel faces only when the face was rated as fitting with the place (a “yes” answer), t(26) = 2.81, p = .009, <U+03B7>2 = .232, but not when the face and place were not integrated (a “no” answer), t(26) = 1.16, p = .256, <U+03B7>2 = .024.","This effect only disappeared when participants failed to integrate the face with the place, judging that the two did not fit together. ; Our findings suggest that familiarity is not judged in isolation; rather, people are unable to completely disentangle the familiarity of the individual components of a scene.","Incorrect-frequentist  whole population"
"27",25,1,1,2,"DeLoss, D. J., Watanabe, T., & Andersen, G. J. (2015). Improving Vision Among Older Adults: Behavioral Training to Improve Sight. Psychological Science, 26(4), 456466. http://doi.org/10.1177/0956797614567510
","http://pss.sagepub.com/content/26/4/456.abstract","Post-hoc T-Test",NA,NA,NA,"0.398","462","Older individuals showed a significant improvement in near acuity, t(12) = 2.217, pFDR = .047, d = 0.615, whereas no significant change in near acuity was found in younger individuals, t(13) = 0.265, pFDR = .398, d = 0.071 (Fig. 6). Similarly, older individuals showed no significant change in far acuity, t(12) = 0.503, pFDR = .398, d = 0.140, whereas a significant improvement in far acuity was found for younger individuals, t(13) = 2.592, pFDR = .044, d = 0.693 (Fig. 7).","Older adults performed as well after training as did college-age younger adults prior to training.","Incorrect-frequentist  current sample"
"28",26,1,1,2,"Dieguez, S., Wagner-Egger, P., & Gauvrit, N. (2015). Nothing Happens by Accident, or Does It? A Low Prior for Randomness Does Not Explain Belief in Conspiracy Theories. Psychological Science, 26(11), 17621770. http://doi.org/10.1177/0956797615598740
","http://pss.sagepub.com/content/26/11/1762.abstract","Correlation",NA,NA,NA,NA,"4","However, subjective randomness was not significantly correlated with any measures of belief in conspiracy theory.","In three studies, we investigated this hypothesis and failed to find the predicted association between low prior for randomness and conspiracist ideation, even when randomness was explicitly opposed to malevolent human intervention. Conspiracy believers’ and nonbelievers’ perceptions of randomness were not only indistinguishable from each other but also accurate compared with the normative view arising from the algorithmic information framework. Thus, the motto “nothing happens by accident,” taken at face value, does not explain belief in conspiracy theories.","Incorrect-frequentist  whole population"
"29",27,1,1,3,"Drouin, H., & Davidson, P. S. R. (2015). Any effects of social orientation priming on object-location memory are smaller than initially reported. Journal of Experimental Psychology: General, 144(6), e107e115. doi:10.1037/xge0000102","http://psycnet.apa.org/journals/xge/144/6/e107/","ANOVA",NA,NA,NA,"0.819","e111","A 2x2 ANOVA testing the effects of gender and priming on object-location memory showed no significant main effects (priming condition: F[1,86]=.053, p=.819, eta¡2=.001; gender: F[1,86]=1.58, p=.212, eta¡2=.018) and no significant interaction, F(1, 86)=.086, p=.769, eta¡2=.001.","In Experiment 2 (n = 90), we included gender as a formal factor and doubled the “dosage” of the priming, yet did not see any priming effects on memory.","Correct-frequentist"
"30",27,2,1,3,"Drouin, H., & Davidson, P. S. R. (2015). Any effects of social orientation priming on object-location memory are smaller than initially reported. Journal of Experimental Psychology: General, 144(6), e107e115. doi:10.1037/xge0000102","http://psycnet.apa.org/journals/xge/144/6/e107/","Independent Samples T-Test","0.5",50,51,"0.616","e111","A t test for independent samples on object-location memory showed no significant effect of priming, t(99)=.50, p=.616, d=.12.","In Experiment 3 (n = 101), we octupled the priming “dosage” and again saw no significant effects on memory.","Correct-frequentist"
"31",28,1,1,2,"Duffy, K. A., & Chartrand, T. L. (2015). The Extravert Advantage: How and When Extraverts Build Rapport With Other People. Psychological Science, 26(11), 17951802. http://doi.org/10.1177/0956797615600890
","http://pss.sagepub.com/content/26/11/1795.abstract","Bayesian analysis",NA,NA,NA,NA,NA,NA,"In Study 1, we found that extraversion predicted increased mimicry when an affiliation goal was present, but not when an affiliation goal was absent. [...] Furthermore, our studies show that this skillfulness of extraverts emerges only when they are motivated to affiliate, providing evidence in favor of the reward-sensitivity as-core model of extraversion.","Bayesian-analysis"
"32",29,1,1,1,"Dunabeitia, J. A., & Costa, A. (2015). Lying in a native and foreign language. Psychonomic Bulletin & Review, 22(4), 11241129.","http://link.springer.com/article/10.3758/s13423-014-0781-4","ANOVA",NA,NA,NA,NA,"1127","Crucially, the interaction between these two factors was not significant [F < 1, p > 0.92, partial<U+03B7>2 < 0.01, 1-ß < 0.06], showing that the effect of deception was highly similar in the native and foreign language (2.68 % and 2.64 % increase, respectively).","Importantly, these two effects did not interact, suggesting that the processing cost associated with deception is similar in a native and foreign language.","Incorrect-frequentist  whole population"
"33",30,1,1,2,"Durso, G. R. O., Luttrell, A., & Way, B. M. (2015). Over-the-Counter Relief From Pains and Pleasures Alike: Acetaminophen Blunts Evaluation Sensitivity to Both Negative and Positive Stimuli. Psychological Science, 26(6), 750758. http://doi.org/10.1177/0956797615570366
","http://pss.sagepub.com/content/26/6/750.abstract","Independent Samples T-Test","0.33",37,42,"0.744","6","We first submitted participants’ overall blue ratings to all stimuli to an independent-samples t test, with treatment as the between-participants factor. This analysis yielded a nonsignificant result, t(77) = 0.33, p = .744. Specifically, participants who took acetaminophen did not significantly differ in their blueness ratings of stimuli overall (M = 3.45, SD = 0.98) compared with participants who received a placebo (M = 3.38, SD = 0.83).","Participants in the acetaminophen condition also rated both negative and positive stimuli as less emotionally arousing than did participants in the placebo condition (Studies 1 and 2), whereas nonevaluative ratings (extent of color saturation in each image; Study 2) were not affected by drug condition.","Incorrect-frequentist  current sample"
"34",31,1,1,2,"Engelhardt, C. R., Mazurek, M. O., Hilgard, J., Rouder, J. N., & Bartholow, B. D. (2015). Effects of Violent-Video-Game Exposure on Aggressive Behavior, Aggressive-Thought Accessibility, and Aggressive Affect Among Adults With and Without Autism Spectrum Disorder. Psychological Science, 26(8), 11871200. http://doi.org/10.1177/0956797615583038
","http://pss.sagepub.com/content/26/8/1187.abstract","Bayesian analysis",NA,NA,NA,NA,NA,NA,"Results showed strong evidence that adults with ASD, compared with typically developing adults, are not differentially affected by acute exposure to violent video games. Moreover, model comparisons provided modest evidence against any effect of violent game content whatsoever. Findings from this experiment suggest that societal concerns that exposure to violent games may have a unique effect on adults with autism are not supported by evidence.","Bayesian-analysis"
"35",32,1,1,3,"Evans, A. M., Dillon, K. D., & Rand, D. G. (2015). Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas. Journal of Experimental Psychology: General, 144(5), 951966. doi:10.1037/xge0000107","http://psycnet.apa.org/journals/xge/144/5/951/","T-Test for slopes",NA,NA,NA,"0.58","959","Time pressure significantly increased cooperation (b =.035, SE =.0094, p =.001), but had no significant effect on decision extremity (b =.002, SE = .0054, p =.58).","Experimentally promoting reliance on intuition increases cooperation, but has no effects on decision extremity or feelings of conflictedness.","Incorrect-frequentist  whole population"
"36",32,1,2,3,"Evans, A. M., Dillon, K. D., & Rand, D. G. (2015). Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas. Journal of Experimental Psychology: General, 144(5), 951966. doi:10.1037/xge0000107","http://psycnet.apa.org/journals/xge/144/5/951/","Independent Samples T-Test","0.298",436,428,"0.76","960","Decisions in the two pro-intuition conditions were not significantly more extreme (M=.68, SD=.40) than decisions in the pro-reflection conditions (M=.67, SD=.38), t(862)=.298, p=.76, d= .02","Experimentally promoting reliance on intuition increases cooperation, but has no effects on decision extremity or feelings of conflictedness.","Incorrect-frequentist  whole population"
"37",32,1,3,3,"Evans, A. M., Dillon, K. D., & Rand, D. G. (2015). Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas. Journal of Experimental Psychology: General, 144(5), 951966. doi:10.1037/xge0000107","http://psycnet.apa.org/journals/xge/144/5/951/","Independent Samples T-Test","1.27",436,428,"0.21","960","Levels of conflict were similar in the two pro-intuition (M=4.79, SD=2.90) and two pro-reflection (M=4.54, SD=2.87) conditions, t(862)=1.27, p=.21, d=.08.","Experimentally promoting reliance on intuition increases cooperation, but has no effects on decision extremity or feelings of conflictedness.","Incorrect-frequentist  whole population"
"38",33,1,1,2,"Fan, S. P., Liberman, Z., Keysar, B., & Kinzler, K. D. (2015). The Exposure Advantage: Early Exposure to a Multilingual Environment Promotes Effective Communication. Psychological Science, 26(7), 10901097. http://doi.org/10.1177/0956797615574699
","pss.sagepub.com/content/26/7/1090.abstract","Independent Samples T-Test","0.072",24,24,"0.94","4","Children in the bilingual and exposure groups were significantly more likely than children in the monolingual group to move the target, t(46) = 2.81, p = .007, d = 0.83, and t(46) = 2.51, p = .016, d = 0.74, respectively, whereas the performance of the bilingual and exposure groups did not differ, t(46) = 0.072, p = .94, d = 0.02.","Children who were merely exposed to a second language performed as well as bilingual children, despite having lower executive-function scores. Thus, the communicative advantages demonstrated by the bilinguals may be social in origin, and not due to enhanced executive control.","Incorrect-frequentist  whole population"
"39",34,1,1,2,"Farooqui, A. A., & Manly, T. (2015). Anticipatory control through associative learning of subliminal relations invisible may be better than visible. Psychological Science, 0956797614564191.","http://pss.sagepub.com/content/26/3/325.abstract","ANOVA",NA,NA,NA,NA,"331","In Experiments 7 and 8, unlike Experiments 1 and 2, performance did not differ on switch trials preceded by the predictive cue compared with those preceded by the nonpredictive cue (p > .35).","This utilization of subliminal information was flexible and adapted to a change in cues predicting task switches and occurred only when switch trials were difficult and effortful.","Incorrect-frequentist  current sample"
"40",35,1,1,2,"FeldmanHall, O., Raio, C. M., Kubota, J. T., Seiler, M. G., & Phelps, E. A. (2015). The Effects of Social Context and Acute Stress on Decision Making Under Uncertainty. Psychological Science, 26(12), 19181926. http://doi.org/10.1177/0956797615605807","http://pss.sagepub.com/content/26/12/1918.abstract","Paired Samples T-Test","0.25",28,NA,"0.8","1922","Subjects in the control condition spent approximately the same amount of money irrespective of whether they were gambling (lottery game: M = $3.74, SD = 2.40) or entrusting money to a partner (trust game: M = $3.81, SD = 2.1), t(27) = -0.25, p = .80 (paired-samples t test), behaving consistently overall irrespective of context...","Those who were not under stress exhibited no differences between the amount of money gambled and the amount of money entrusted to partners.","Incorrect-frequentist  current sample"
"41",36,1,1,1,"Fenn, K. M., & Hambrick, D. Z. (2015). General intelligence predicts memory change across sleep. Psychonomic Bulletin & Review, 22(3), 791799.","http://link.springer.com/article/10.3758/s13423-014-0731-1","Correlation",NA,NA,NA,"0.37","795","As predicted, memory gain and memory loss correlated near zero with g in the wake group (r = .06, p = .37 and r = -.02, p = . 79 with gain and loss, respectively).","In the wake group, g was not correlated with either memory gain or memory loss.","Incorrect-frequentist  current sample"
